"","EstID","Company.x","State","Zip","Company.y","Size2","Beef_Slaughter","Pork_Slaughter","Chicken_Slaughter","Catfish_Products","Egg_Products","StateName"
"3293",12165,"Global Gourmet Food Solutions LLC","TX","75042","Global Gourmet Food Solutions LLC","Small",FALSE,NA,NA,NA,NA,"Texas"
"3294",12176,"Apache Foods LLC","TX","79835","Apache Foods LLC","Small",FALSE,NA,NA,NA,NA,"Texas"
"3295",12186,"Tj's Pizza Company","MO","63137","Tj's Pizza Company","Small",FALSE,NA,NA,NA,NA,"Missouri"
"3296",12189,"Taylor Farm - Pacific","CA","95376","Taylor Farm - Pacific","Large",FALSE,NA,NA,NA,NA,"California"
"3297",12193,"Dakota Packing","NV","89103","Dakota Packing","Small",FALSE,NA,NA,NA,NA,"Nevada"
"3298",12198,"Twin Marquis, LLC","NY","11206","Twin Marquis, LLC","Small",FALSE,NA,NA,NA,NA,"New York"
"3299",12201,"Tyson Processing Services, Inc.","KY","42101","Tyson Processing Services, Inc.","Large",FALSE,NA,NA,NA,NA,"Kentucky"
"3300",12213,"Teets Meat Packing, LLC","WV","26241","Teets Meat Packing, LLC","Small",TRUE,TRUE,NA,NA,NA,"West Virginia"
"3301",12230,"Sunsof, Inc.","FL","33013","Sunsof, Inc.","Small",FALSE,NA,NA,NA,NA,"Florida"
"3302",12231,"Royal Provisions, LLC","MN","56232","Royal Provisions, LLC","Small",FALSE,NA,NA,NA,NA,"Minnesota"
"3303",12239,"Americold Logistics, LLC","WI","53114","Americold Logistics, LLC","Small",FALSE,NA,NA,NA,NA,"Wisconsin"
"3304",12243,"LA PASTA INC","MD","20910","LA PASTA INC","Small",FALSE,NA,NA,NA,NA,"Maryland"
"3305",12253,"Gourmet Specialty Foods, LLC","MA","01845","Gourmet Specialty Foods, LLC","Small",FALSE,NA,NA,NA,NA,"Massachusetts"
"3306",12254,"Mennonite Central Committee U.S.","IA","52356","Mennonite Central Committee U.S.","Small",FALSE,NA,NA,NA,NA,"Iowa"
"3307",12255,"Johnsonville, LLC","WI","53085","Johnsonville, LLC","Small",FALSE,NA,NA,NA,NA,"Wisconsin"
"3308",12256,"Johnsonville, LLC","WI","53085","Johnsonville, LLC","Small",FALSE,NA,NA,NA,NA,"Wisconsin"
"3309",12259,"DaBecca LLC","IL","60628","DaBecca LLC","Small",FALSE,NA,NA,NA,NA,"Illinois"
"3310",12261,"The Perfect Pita, Inc.","VA","22153","The Perfect Pita, Inc.","Small",FALSE,NA,NA,NA,NA,"Virginia"
"3311",12262,"George's Brand Meats, LLC","IL","60131","George's Brand Meats, LLC","Small",FALSE,NA,NA,NA,NA,"Illinois"
"3312",12264,"Tyson Foods, Inc.","AR","72762","Tyson Foods, Inc.","Small",FALSE,NA,NA,NA,NA,"Arkansas"
"3313",12269,"Sklenarik's Smoked Meats, Inc.","TX","76861","Sklenarik's Smoked Meats, Inc.","Small",TRUE,TRUE,NA,NA,NA,"Texas"
"3314",12272,"Tsim Neej Oriental","CA","93702","Tsim Neej Oriental","Small",FALSE,NA,NA,NA,NA,"California"
"3315",12273,"Farbest Foods, Inc.","IN","47542","Farbest Foods, Inc.","Small",FALSE,NA,NA,NA,NA,"Indiana"
"3316",12277,"Northwest Premier Meats, LLC","OR","97062","Northwest Premier Meats, LLC","Small",FALSE,NA,NA,NA,NA,"Oregon"
"3317",12279,"B & K Meat","GA","30032","B & K Meat","Small",FALSE,NA,NA,NA,NA,"Georgia"
"3318",12281,"Elysian Fields, LLC","WV","26542","Elysian Fields, LLC","Small",FALSE,NA,NA,NA,NA,"West Virginia"
"3319",12282,"Don's Cold Storage & Transportation","AR","72757","Don's Cold Storage & Transportation","Small",FALSE,NA,NA,NA,NA,"Arkansas"
"3320",12285,"International Provisions, Inc.","CT","06517","International Provisions, Inc.","Small",FALSE,NA,NA,NA,NA,"Connecticut"
"3321",12286,"Flushing Meats, Inc.","NY","11237","Flushing Meats, Inc.","Small",FALSE,NA,NA,NA,NA,"New York"
"3322",12288,"Myhall Food Corp.","CA","91732","Myhall Food Corp.","Small",FALSE,NA,NA,NA,NA,"California"
"3323",12290,"Hearthside Food Solutions, LLC","IL","60188","Hearthside Food Solutions, LLC","Large",FALSE,NA,NA,NA,NA,"Illinois"
"3324",12294,"E. R. Boliantz Co. Inc.","OH","44805","E. R. Boliantz Co. Inc.","Small",TRUE,TRUE,NA,NA,NA,"Ohio"
"3325",12295,"Pacific Coast Meat Inc.","CA","94104","Pacific Coast Meat Inc.","Small",FALSE,NA,NA,NA,NA,"California"
"3326",12299,"Missa Bay LLC","NJ","08085","Missa Bay LLC","Small",FALSE,NA,NA,NA,NA,"New Jersey"
"3327",12300,"Fair Oaks Farms, LLC","WI","53158","Fair Oaks Farms, LLC","Small",FALSE,NA,NA,NA,NA,"Wisconsin"
"3328",12304,"Anmar Foods","IL","60612","Anmar Foods","Small",FALSE,NA,NA,NA,NA,"Illinois"
"3329",12306,"Hogs Galore FLP","PA","16866","Hogs Galore FLP","Small",FALSE,NA,NA,NA,NA,"Pennsylvania"
"3330",12310,"Wang Jar Food Company, LLC","KS","67437","Wang Jar Food Company, LLC","Small",FALSE,TRUE,NA,NA,NA,"Kansas"
"3331",12319,"Great Lakes Poultry, Inc.","IN","46350","Great Lakes Poultry, Inc.","Small",FALSE,NA,TRUE,NA,NA,"Indiana"
"3332",12320,"Rajbhog Foods (NJ), Inc.","NJ","07304","Rajbhog Foods (NJ), Inc.","Small",FALSE,NA,NA,NA,NA,"New Jersey"
"3333",12321,"Club House Market, Inc","OK","73109","Club House Market, Inc","Small",FALSE,NA,NA,NA,NA,"Oklahoma"
"3334",12322,"King's Command Foods (2022), LLC","OH","45380","King's Command Foods (2022), LLC","Small",FALSE,NA,NA,NA,NA,"Ohio"
"3335",12326,"Hemingway Locker Plant, LLC","SC","29554","Hemingway Locker Plant, LLC","Small",TRUE,TRUE,NA,NA,NA,"South Carolina"
"3336",12339,"Vigil's Beef Jerky","NM","87107","Vigil's Beef Jerky","Small",FALSE,NA,NA,NA,NA,"New Mexico"
"3337",12342,"WC Acquisitions, LLC","TX","78801","WC Acquisitions, LLC","Small",FALSE,NA,NA,NA,NA,"Texas"
"3338",12343,"American Food Services, LLC","NC","28655","American Food Services, LLC","Small",FALSE,NA,NA,NA,NA,"North Carolina"
"3339",12349,"Willy's Products","FL","33311","Willy's Products","Small",FALSE,NA,NA,NA,NA,"Florida"
"3340",12354,"Ansaldos Sausage Corp.","CA","93025","Ansaldos Sausage Corp.","Small",FALSE,NA,NA,NA,NA,"California"
"3341",12362,"Pilgrim's Pride Corporation","GA","30601","Pilgrim's Pride Corporation","Large",FALSE,NA,NA,NA,NA,"Georgia"
"3342",12363,"International Meat Co.","IL","60707","International Meat Co.","Small",FALSE,NA,NA,NA,NA,"Illinois"
"3343",12364,"Sherwood Food Distributors, L.L.C.","MI","48228","Sherwood Food Distributors, L.L.C.","Small",FALSE,NA,NA,NA,NA,"Michigan"
"3344",12365,"Kentucky Farm Kitchens","AL","35954","Kentucky Farm Kitchens","Small",FALSE,NA,NA,NA,NA,"Alabama"
"3345",12368,"Miss Essies Southern BBQ LLC","UT","84107","Miss Essies Southern BBQ LLC","Small",FALSE,NA,NA,NA,NA,"Utah"
"3346",12369,"Fatman's Beef Jerky","NM","88232","Fatman's Beef Jerky","Small",FALSE,NA,NA,NA,NA,"New Mexico"
"3347",12371,"Land O'Frost, Inc.","KY","42431","Land O'Frost, Inc.","Small",FALSE,NA,NA,NA,NA,"Kentucky"
"3348",12374,"T.G. Meat Center","TX","77435","T.G. Meat Center","Small",FALSE,NA,NA,NA,NA,"Texas"
"3349",12375,"MEAT BAR INC.","NY","11434","MEAT BAR INC.","Small",FALSE,NA,NA,NA,NA,"New York"
"3350",12378,"Glass Onion Catering","CA","94804","Glass Onion Catering","Small",FALSE,NA,NA,NA,NA,"California"
"3351",12379,"Jim's Meat Market of Iron River LLC","WI","54847","Jim's Meat Market of Iron River LLC","Small",FALSE,NA,NA,NA,NA,"Wisconsin"
"3352",12383,"Latin Flavors Enterprise Inc.","FL","33054","Latin Flavors Enterprise Inc.","Small",FALSE,NA,NA,NA,NA,"Florida"
"3353",12384,"Thrushwood Farms Quality Meats, Inc.","IL","61401","Thrushwood Farms Quality Meats, Inc.","Small",FALSE,NA,NA,NA,NA,"Illinois"
"3354",12385,"SON AND SONS TRADING CO. INC.","NY","11222","SON AND SONS TRADING CO. INC.","Small",FALSE,NA,NA,NA,NA,"New York"
"3355",12388,"Kinners Kountry Sausage","FL","32340","Kinners Kountry Sausage","Small",FALSE,NA,NA,NA,NA,"Florida"
"3356",12402,"Texas Egg Products LLC","TX","78959","Texas Egg Products LLC","Small",FALSE,NA,NA,NA,TRUE,"Texas"
"3357",12405,"Smith's Log Smokehouse","ME","04951","Smith's Log Smokehouse","Small",FALSE,NA,NA,NA,NA,"Maine"
"3358",12413,"Koch Foods of Mississippi-Morton Prepared","MS","39117","Koch Foods of Mississippi-Morton Prepared","Large",FALSE,NA,NA,NA,NA,"Mississippi"
"3359",12421,"Naturally New Mexico Food Products LLC","NM","87530","Naturally New Mexico Food Products LLC","Small",TRUE,TRUE,NA,NA,NA,"New Mexico"
"3360",12424,"SFMV Newco, LLC","AL","35401","SFMV Newco, LLC","Small",FALSE,NA,NA,NA,NA,"Alabama"
"3361",12425,"S.D.J TRADING","NJ","07111","S.D.J TRADING","Small",FALSE,NA,NA,NA,NA,"New Jersey"
"3362",12427,"W Diamond M Meats, LLC","KS","66083","W Diamond M Meats, LLC","Small",FALSE,TRUE,NA,NA,NA,"Kansas"
"3363",12435,"Columbus Manufacturing Inc.","CA","94545","Columbus Manufacturing Inc.","Large",FALSE,NA,NA,NA,NA,"California"
"3364",12442,"Fisher's Homestyle Salads LLC","PA","17601","Fisher's Homestyle Salads LLC","Small",FALSE,NA,NA,NA,NA,"Pennsylvania"
"3365",12450,"Custom Meats of Marathon, Inc.","WI","54448","Custom Meats of Marathon, Inc.","Small",TRUE,TRUE,NA,NA,NA,"Wisconsin"
"3366",12454,"JBS Lenoir, Inc","NC","28645","JBS Lenoir, Inc","Small",FALSE,NA,NA,NA,NA,"North Carolina"
"3367",12459,"Vina Foods","MA","02118","Vina Foods","Small",FALSE,NA,NA,NA,NA,"Massachusetts"
"3368",12461,"Sanderson Farms, Inc.","TX","76705","Sanderson Farms, Inc.","Large",FALSE,NA,TRUE,NA,NA,"Texas"
"3369",12478,"Camacho's Food Processing","CA","93901","Camacho's Food Processing","Small",FALSE,NA,NA,NA,NA,"California"
"3370",12482,"Spectrum Foods, Inc.","MD","20785","Spectrum Foods, Inc.","Small",FALSE,NA,NA,NA,NA,"Maryland"
"3371",12488,"House of Halal Meat, Inc","FL","32052","House of Halal Meat, Inc","Small",TRUE,NA,NA,NA,NA,"Florida"
"3372",12489,"Hunt's Meat Co.","NM","87421","Hunt's Meat Co.","Small",FALSE,NA,NA,NA,NA,"New Mexico"
"3373",12490,"Mac's Meat Inc","NM","88005","Mac's Meat Inc","Small",FALSE,NA,NA,NA,NA,"New Mexico"
"3374",12496,"Lakeside Meats","NM","88220","Lakeside Meats","Small",FALSE,NA,NA,NA,NA,"New Mexico"
"3375",12498,"Red Rock Beef Jerky","NM","87301","Red Rock Beef Jerky","Small",FALSE,NA,NA,NA,NA,"New Mexico"
"3376",12499,"Eagle Rock Food Co","NM","87104","Eagle Rock Food Co","Small",FALSE,NA,NA,NA,NA,"New Mexico"
"3377",12500,"Delicious Beef Jerky","NM","87107","Delicious Beef Jerky","Small",FALSE,NA,NA,NA,NA,"New Mexico"
"3378",12503,"Villalobos Mexican Food Dist.","NM","87105","Villalobos Mexican Food Dist.","Small",FALSE,NA,NA,NA,NA,"New Mexico"
"3379",12505,"Pronto Express 107","NM","87301","Pronto Express 107","Small",FALSE,NA,NA,NA,NA,"New Mexico"
"3380",12507,"Tullys Market & Deli","NM","87110","Tullys Market & Deli","Small",FALSE,NA,NA,NA,NA,"New Mexico"
"3381",12513,"Kadejan, Inc.","MN","56334","Kadejan, Inc.","Small",FALSE,NA,TRUE,NA,NA,"Minnesota"
"3382",12514,"Shakespeare's Pizza, Inc.","MO","65203","Shakespeare's Pizza, Inc.","Small",FALSE,NA,NA,NA,NA,"Missouri"
"3383",12518,"Better Baked Foods, LLC","PA","16510","Better Baked Foods, LLC","Small",FALSE,NA,NA,NA,NA,"Pennsylvania"
"3384",12525,"Stone Ridge Wholesale Division LLC","WI","54982","Stone Ridge Wholesale Division LLC","Small",FALSE,NA,NA,NA,NA,"Wisconsin"
"3385",12527,"West Liberty Foods LLC","UT","84337","West Liberty Foods LLC","Large",FALSE,NA,NA,NA,NA,"Utah"
"3386",12528,"Productos Real","TX","79907","Productos Real","Small",FALSE,NA,NA,NA,NA,"Texas"
"3387",12535,"Cox Marketing","TX","79706","Cox Marketing","Small",FALSE,NA,NA,NA,NA,"Texas"
"3388",12541,"Texas Natural Meats","TX","76656","Texas Natural Meats","Small",TRUE,TRUE,NA,NA,NA,"Texas"
"3389",12543,"Wordens Meat","MO","64801","Wordens Meat","Small",FALSE,NA,NA,NA,NA,"Missouri"
"3390",12544,"Dogtown Pizza","MO","63113","Dogtown Pizza","Small",FALSE,NA,NA,NA,NA,"Missouri"
"3391",12553,"Paden Cold, Inc.","VA","23502","Paden Cold, Inc.","Small",FALSE,NA,NA,NA,NA,"Virginia"
"3392",12556,"Bach Cuc Beef Jerky, Inc","CA","91733","Bach Cuc Beef Jerky, Inc","Small",FALSE,NA,NA,NA,NA,"California"
"3393",12570,"Swift Beef Company","CA","92518","Swift Beef Company","Small",FALSE,NA,NA,NA,NA,"California"
"3394",12590,"J.J. Foodservice Inc.","CA","92084","J.J. Foodservice Inc.","Small",FALSE,NA,NA,NA,NA,"California"
"3395",12592,"Kam Fung Wong","NY","11232","Kam Fung Wong","Small",FALSE,NA,TRUE,NA,NA,"New York"
"3396",12596,"Mongiello Italian Cheese Specialties","NY","12747","Mongiello Italian Cheese Specialties","Small",FALSE,NA,NA,NA,NA,"New York"
"3397",12600,"Me Gusta Gourmet Foods, Inc.","CA","91331","Me Gusta Gourmet Foods, Inc.","Small",FALSE,NA,NA,NA,NA,"California"
"3398",12604,"Crabill's Retail & Wholesale Meats, LLC","VA","22660","Crabill's Retail & Wholesale Meats, LLC","Small",TRUE,TRUE,NA,NA,NA,"Virginia"
"3399",12606,"Ga Dong Nai","TX","78615","Ga Dong Nai","Small",FALSE,NA,TRUE,NA,NA,"Texas"
"3400",12608,"T & W Meat Company","KS","67068","T & W Meat Company","Small",TRUE,NA,NA,NA,NA,"Kansas"
"3401",12615,"Abeles & Heymann, LLC","NJ","07205","Abeles & Heymann, LLC","Small",FALSE,NA,NA,NA,NA,"New Jersey"
"3402",12623,"Old World Meat","MN","55811","Old World Meat","Small",FALSE,NA,NA,NA,NA,"Minnesota"
"3403",12632,"Alatrade Foods, Inc.","AL","36869","Alatrade Foods, Inc.","Small",FALSE,NA,NA,NA,NA,"Alabama"
"3404",12640,"Commissary El Gallo, INC","CA","95240","Commissary El Gallo, INC","Small",FALSE,NA,NA,NA,NA,"California"
"3405",12641,"Summit Hill Foods, Inc.","UT","84104","Summit Hill Foods, Inc.","Small",FALSE,NA,NA,NA,NA,"Utah"
"3406",12644,"International Provisions, Inc.","CT","06517","International Provisions, Inc.","Small",FALSE,NA,NA,NA,NA,"Connecticut"
"3407",12647,"Taylor Farms New Jersey, Inc.","NJ","08085","Taylor Farms New Jersey, Inc.","Large",FALSE,NA,NA,NA,NA,"New Jersey"
"3408",12649,"Kasia's Deli, Inc.","IL","60612","Kasia's Deli, Inc.","Small",FALSE,NA,NA,NA,NA,"Illinois"
"3409",12651,"Revels Barbeque of South Carolina, LLC","SC","29512","Revels Barbeque of South Carolina, LLC","Small",FALSE,NA,NA,NA,NA,"South Carolina"
"3410",12652,"AdvancePierre Foods, Inc.","OK","73701","AdvancePierre Foods, Inc.","Small",FALSE,NA,NA,NA,NA,"Oklahoma"
"3411",12656,"Wing Lee Farms","CA","91710","Wing Lee Farms","Small",FALSE,NA,TRUE,NA,NA,"California"
"3412",12666,"Custom Made Meals","CO","80216","Custom Made Meals","Small",FALSE,NA,NA,NA,NA,"Colorado"
"3413",12676,"A & A Finest","NY","11368","A & A Finest","Small",FALSE,NA,NA,NA,NA,"New York"
"3414",12677,"The Wornick Company dba Baxters North America","OH","45246","The Wornick Company dba Baxters North America","Small",FALSE,NA,NA,NA,NA,"Ohio"
"3415",12678,"New Day Farms, LLC","OH","43067","New Day Farms, LLC","Small",FALSE,NA,NA,NA,TRUE,"Ohio"
"3416",12692,"Lineage Logistics PFS, LLC","VA","23323","Lineage Logistics PFS, LLC","Small",FALSE,NA,NA,NA,NA,"Virginia"
"3417",12696,"Valley Foods, Inc","OH","44503","Valley Foods, Inc","Small",FALSE,NA,NA,NA,NA,"Ohio"
